County,Population 
Alameda,1662775
Amador ,38063
Butte,227837
Calaveras,44637
Colusa,22744
Contra Costa,1145876
Del Norte,27275
El Dorado ,188993
Fresno,1010926
Glenn,29337
Humboldt,135627
Imperial,189468
Inyo,18526
Kern,907518
Kings,153540
Lake,65170
Lassen,30563
Los Angeles,10278836
Madera,158259
Marin,262224
Mariposa ,17918
Mendocino,89027
Merced,280772
Modoc,9505
Mono,13887
Monterey,443819
Napa,140491
Nevada,98719
Orange,3216817
Placer,389047
Plumas,19517
Riverside,2419897
Sacramento,1534893
San Benito,61260
San Bernardino,2178492
San Diego,3344430
San Francisco,887540
San Joaquin,759186
San Luis Obispo,279370
San Mateo,774159
Santa Barbara ,453288
Santa Clara,1956579
Santa Cruz,275221
Shasta,178262
Siskiyou,44082
Solano,439472
Sonoma,501427
Stanislaus,554703
Tehama,64532
Trinity,13407
Tulare,476909
Tuolumne,52790
Ventura,855489
Yolo,221557
Yuba,77494
